Estacao;DataHora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
83587;01/01/2000 00:00;21.3;19.4;83;907.9;5;1;10;
83587;01/01/2000 12:00;21.1;20;90;908.1;27;1.6;10;
83587;01/01/2000 18:00;20.6;19.9;94;905.9;23;2.6;10;
83587;02/01/2000 00:00;19.5;19.1;96;907.3;27;2;10;
83587;02/01/2000 12:00;19.7;19;93;908.2;27;1.6;10;
83587;02/01/2000 18:00;21.5;20.3;89;906.3;32;1.3;10;
83587;03/01/2000 00:00;20.7;20;94;907.6;36;1;10;
83587;03/01/2000 12:00;20.5;19;87;907.9;36;2;10;
83587;03/01/2000 18:00;24.7;19.9;63;906.2;32;1.5;10;
83587;04/01/2000 00:00;20.7;20.1;95;908.3;5;0.8;10;
83587;04/01/2000 12:00;20.5;19.5;91;911.9;27;2.5;10;
83587;04/01/2000 18:00;22.1;21.1;91;909.9;32;1.3;10;
83587;05/01/2000 00:00;21.2;19.7;87;910.8;9;0.3;8;
83587;05/01/2000 12:00;23.9;20.2;71;912.1;5;2;7;
83587;05/01/2000 18:00;27.8;21.6;57;910.6;9;1.6;5;
83587;06/01/2000 00:00;23.9;20.2;71;911.2;5;2.5;0;
83587;06/01/2000 12:00;24.5;19.8;64;913;9;2;4;
83587;06/01/2000 18:00;28.1;20.9;51;911.4;9;1.5;7;
83587;07/01/2000 00:00;24.1;19.8;66;910.8;9;1.6;0;
83587;07/01/2000 12:00;23.9;19.2;63;912.8;9;2.3;7;
83587;07/01/2000 18:00;28.5;17.8;32;910.6;9;1;4;
83587;08/01/2000 00:00;23.9;17.6;52;911;9;2.5;0;
83587;08/01/2000 12:00;21.9;17.9;67;913.2;9;3;8;
83587;08/01/2000 18:00;26.3;20;55;911.7;9;3.3;10;
83587;09/01/2000 00:00;22.4;17.6;61;911.9;9;3;0;
83587;09/01/2000 12:00;22.3;18.4;68;914.4;9;2;7;
83587;09/01/2000 18:00;27.3;19;44;913.8;9;1.6;8;
83587;10/01/2000 00:00;22.3;18.6;69;914.4;9;2;0;
83587;10/01/2000 12:00;21.8;18.3;71;915.1;9;3.1;6;
83587;10/01/2000 18:00;28;19.9;46;913.4;14;2;6;
83587;11/01/2000 00:00;23.7;19;63;913;9;1.6;0;
83587;11/01/2000 12:00;23.6;17.9;56;914.4;9;3.1;10;
83587;11/01/2000 18:00;28.6;18.1;33;911.8;36;1.5;9;
83587;12/01/2000 00:00;23.9;19.4;65;911.3;9;2.3;0;
